test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start
5077164207,237065288,"HUAWEI/MHA-AL00/HWMHA:7.0/HUAWEIMHA-AL00/C00B159SP03:user/release-keys","2019-07-01 00:00:00","223.104.xxx.xxx",39601,6480,49,"Wuhan","China","CN",30.5833,114.2833,"China Telecom Wuhan Branch-2","China","CN","Jiangxi","JX","Nanchang",28.692,115.851,161.23,"China Mobile Guangdong","1","中国移动","460","0",15,15,"HUAWEI","HWMHA","hi3660","HUAWEIMHA-AL00","HUAWEI","MHA-AL00","MHA-AL00","","130421020",1,"Nanchang, Jiangxi, China","Nanchang","locality","China","CN","Jiangxi","","","","","28.69185","115.85088",1,"28.69185","115.85088",1
5077164216,261075484,"samsung/greatqltesq/greatqlte:9/PPR1.180610.011/N950USQU5DSD3:user/release-keys","2019-07-01 00:00:00","123.136.xxx.xxx",18243,4196,53,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"Yes 4G","Malaysia","MY","Pahang","06","Pekan",3.298,103.422,120.319,"U Mobile Sdn Bhd","1","U MOBILE","502","18",17,17,"samsung","greatqlte","qcom","PPR1.180610.011","samsung","SM-N950U","greatqltesq","","7828377",1,"Pekan, Pahang, Malaysia","Pekan","locality","Malaysia","MY","Pahang","Pekan","","26600","","3.20889","103.44411",1,"3.20889","103.44411",1
5077164218,261075216,"vivo/1726/1726:8.1.0/O11019/1557492543:user/release-keys","2019-07-01 00:00:00","106.207.xxx.xxx",3597,11239,37,"Jaipur","India","IN",26.9260,75.8235,"Speed4Net","India","IN","Rajasthan","RJ","Bikaner",28.011,73.272,173.628,"BHARTI Airtel","1","IND airtel","404","70",15,15,"vivo","1726","mt6762","O11019","vivo","vivo 1726","1726","","237859074",1,"Murlidhar Vyas Colony, Bikaner, Rajasthan, India","Murlidhar Vyas Colony","sublocality_level_1","India","IN","Rajasthan","Bikaner","Bikaner","334001","","28.01195","73.27276",1,"28.01195","73.27276",1
5077164227,251545718,"LEAGOO/T8s/T8s:8.1.0/O11019/1534922260:user/release-keys","2019-07-01 00:00:00","217.118.xxx.xxx",16481,1433,158,"Novosibirsk","Russian Federation","RU",55.0000,82.0000,"Rostelecom","Russia","RU","Novosibirsk Oblast","NVS","Krasnoobsk",54.921,82.978,39.2497,"VimpelCom","1","MegaFon","250","2",15,15,"LEAGOO","T8s","mt6755","O11019","LEAGOO","T8s","T8s","","139367175",1,"Krasnoobsk, Novosibirskaya oblast', Russia","Krasnoobsk","locality","Russia","RU","Novosibirsk Oblast","Novosibirsky District","","630501","","54.92131","82.97878",1,"54.92131","82.97878",1
5077164237,257388732,"OPPO/CPH1819/CPH1819:8.1.0/O11019/1547278409:user/release-keys","2019-07-01 00:00:00","47.247.xxx.xxx",2927,6964,109,"Raipur","India","IN",21.1797,81.7787,"Foxtel","India","IN","Madhya Pradesh","MP","Burhar",23.204,81.585,140.594,"Jio","1","Jio 4G","405","863",15,15,"OPPO","CPH1819","mt6771","O11019","OPPO","CPH1819","CPH1819","","38948",1,"Amlai, Madhya Pradesh, India","Amlai","locality","India","IN","Madhya Pradesh","Shahdol","","484110","","23.20430","81.58514",1,"23.20430","81.58514",1
5077164238,256102160,"samsung/jackpot2ltexx/jackpot2lte:9/PPR1.180610.011/A730FXXU4CSCH:user/release-keys","2019-07-01 00:00:00","51.39.xxx.xxx",4742,1414,39,"Riyadh","Saudi Arabia","SA",24.6500,46.7100,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Riyadh Province","01","Riyadh",24.644,46.515,12.2399,"Zain Saudi Arabia","1","ZAIN KSA","420","4",17,17,"samsung","jackpot2lte","samsungexynos7885","PPR1.180610.011","samsung","SM-A730F","jackpot2ltexx","","7258052",1,"Riyadh Saudi Arabia","Riyadh","locality","Saudi Arabia","SA","Riyadh Province","","","13755","","24.64501","46.51543",1,"24.64501","46.51543",1
5077164242,146043863,"samsung/a5ultexx/a5ulte:6.0.1/MMB29M/A500FUXXU1CSB1:user/release-keys","2019-07-01 00:00:00","77.222.xxx.xxx",40765,4575,22,"Podgorica","Montenegro","ME",42.4411,19.2636,"Crnogorski Telekom AD","Montenegro","ME","Podgorica","16","Podgorica",42.441,19.263,0,"Crnogorski Telekom a.d.Podgorica","1","TELEKOM.ME","297","2",15,15,"samsung","a5ulte","qcom","MMB29M","samsung","SM-A500FU","a5ultexx","","3625",2,"Podgorica, Montenegro","Podgorica","locality","Montenegro","ME","Podgorica","","","","","42.44110","19.26360",2,"42.44110","19.26360",2
5077164244,260242828,"asus/WW_X01BD/ASUS_X01BD_2:9/PKQ1/16.2017.1905.065-20190507:user/release-keys","2019-07-01 00:00:01","183.171.xxx.xxx",22468,1606,38,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"Celcom Axiata","Malaysia","MY","Federal Territory of Kuala Lumpur","14","Kuala Lumpur",3.147,101.700,1.22189,"Celcom Axiata Berhad","1","MY CELCOM","502","19",15,15,"asus","ASUS_X01BD_2","qcom","PKQ1","asus","ASUS_X01BDA","WW_X01BD","","",2,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Kuala Lumpur","locality","Malaysia","MY","Federal Territory of Kuala Lumpur","","","50200","","3.14790","101.70080",2,"3.14790","101.70080",2
5077164245,260942941,"TECNO/H624/TECNO-KB3:9/PPR1.180610.011/A-190213V209:user/release-keys","2019-07-01 00:00:01","157.32.xxx.xxx",14812,3401,58,"Ahemdabad","India","IN",23.0300,72.5800,"ISHAN Netsol Pvt Ltd","India","IN","Gujarat","GJ","Ahmedabad",23.035,72.619,2.53982,"Jio","1","Jio 4G","405","857",15,15,"TECNO","TECNO-KB3","mt6761","PPR1.180610.011","TECNO MOBILE LIMITED","TECNO KB3","H624","","",2,"Ahmedabad, Gujarat, India","Ahmedabad","locality","India","IN","Gujarat","Ahmedabad","","380018","","23.03580","72.61940",2,"23.03580","72.61940",2
5077164246,92950985,"samsung/trltedt/trlte:4.4.4/KTU84P/N910GDTU1ANK3:user/release-keys","2019-07-01 00:00:01","115.178.xxx.xxx",46215,16366,17,"Jakarta","Indonesia","ID",-6.2146,106.8451,"Smartfren Telecom","Indonesia","ID","West Java","JB","Sangereng",-6.234,106.718,8.82159,"PT. CORE MEDIATECH","1","51009","510","9",15,15,"samsung","trlte","qcom","KTU84P","samsung","SM-N910G","trltedt","","101173025",1,"Tangerang, Tangerang City, Banten, Indonesia","Tangerang","locality","Indonesia","ID","Banten","Tangerang City","","15151","","-6.23498","106.71836",1,"-6.23498","106.71836",1
